durat,fail,drugs,black,married,educ
11,1,1,1,0,9
74,1,0,0,0,8
72,0,1,0,0,9
37,1,0,0,0,7
80,0,1,1,0,8
18,1,0,0,0,9
73,0,0,0,0,9
80,0,0,0,0,14
78,0,1,1,0,16
80,0,0,1,0,10
76,0,0,1,1,12
81,0,1,1,0,7
59,1,0,1,0,14
47,1,0,1,0,12
6,1,0,1,0,11
81,0,1,0,0,12
73,0,0,1,1,8
70,0,0,1,0,10
80,0,0,0,0,9
70,0,0,1,0,10
27,1,1,0,0,8
72,0,0,0,1,4
73,0,0,1,1,3
80,0,1,1,0,9
2,1,0,1,0,10
36,1,1,0,0,9
67,1,0,1,1,11
72,0,0,1,1,11
46,1,0,0,0,8
75,0,0,0,0,10
71,0,0,0,0,11
14,1,0,1,0,12
70,0,1,0,0,12
79,0,0,0,0,10
70,0,0,1,0,12
73,0,0,1,0,12
12,1,1,0,1,7
70,0,1,0,0,9
18,1,0,0,0,9
6,1,0,1,0,11
13,1,1,0,1,9
71,0,0,1,1,2
72,0,0,0,0,12
74,0,0,0,0,11
77,0,0,0,0,12
22,1,1,0,0,9
9,1,0,0,0,9
76,0,0,0,0,7
78,0,0,0,0,7
73,0,0,0,1,10
77,0,0,0,0,14
72,0,0,1,0,12
46,1,0,0,0,7
76,0,0,0,1,8
73,0,1,0,0,11
21,1,0,0,0,9
72,0,0,0,0,12
81,0,0,1,1,11
76,0,1,0,0,10
74,0,0,0,0,12
53,1,0,1,1,8
36,1,0,1,0,10
76,0,1,0,1,12
80,0,1,1,0,12
36,1,1,0,0,14
8,1,0,1,0,9
79,0,0,1,0,10
76,0,0,0,0,10
73,0,1,1,1,9
81,0,0,0,0,12
81,0,0,1,0,11
73,0,1,0,1,10
24,1,0,1,0,10
81,0,0,0,0,9
73,0,0,0,0,9
71,0,0,1,1,11
10,1,0,0,0,12
80,0,0,0,0,12
10,1,0,1,0,10
12,1,0,0,0,11
76,0,0,0,0,7
81,0,0,0,0,10
11,1,0,1,1,8
80,0,0,0,0,7
75,0,0,1,0,11
71,0,0,0,1,14
76,0,0,1,0,15
15,1,0,0,0,8
80,0,0,0,0,10
79,0,1,0,0,9
73,0,1,0,0,10
74,0,0,0,1,10
58,1,1,0,0,8
69,1,0,1,1,5
4,1,0,0,1,12
73,0,0,1,0,10
70,0,0,0,0,10
6,1,0,1,0,9
71,0,0,1,0,3
74,0,0,1,0,10
8,1,1,1,0,9
71,0,0,0,0,10
66,1,1,1,0,10
25,1,0,0,0,10
15,1,0,1,1,12
73,0,1,0,0,10
74,0,0,0,0,17
70,0,0,0,1,8
78,0,0,0,0,12
74,0,0,0,1,12
32,1,0,1,0,12
7,1,0,1,0,10
70,0,0,1,1,9
19,1,1,0,1,7
7,1,1,0,0,9
12,1,0,1,0,11
72,0,0,1,1,8
78,0,0,0,0,8
76,0,1,0,1,15
30,1,1,1,0,9
70,0,0,1,0,12
77,0,0,0,0,12
73,0,0,0,1,12
31,1,0,0,1,6
78,0,1,0,0,9
26,1,0,1,0,12
6,1,0,1,0,10
73,0,0,1,0,10
18,1,1,0,1,5
13,1,1,1,0,8
14,1,0,1,0,9
4,1,0,1,0,8
72,0,0,0,1,4
74,0,0,0,0,8
73,0,0,0,1,12
2,1,0,0,0,8
76,0,0,0,0,4
76,0,1,0,0,13
7,1,1,0,0,8
70,0,0,0,1,8
17,1,0,0,0,7
73,0,0,0,0,10
25,1,0,1,0,10
11,1,1,0,1,11
81,0,0,0,0,14
74,0,0,0,0,12
70,0,0,1,0,10
28,1,1,1,0,11
74,0,0,1,0,12
15,1,1,0,0,12
53,1,0,0,0,8
16,1,1,1,1,12
2,1,1,0,0,9
80,0,0,1,0,12
14,1,0,1,1,9
71,0,0,1,0,10
71,0,0,0,1,9
11,1,0,0,1,12
9,1,1,0,1,10
21,1,0,0,0,8
79,0,0,1,0,12
79,0,0,1,0,11
41,1,0,1,0,8
80,0,0,0,0,12
79,0,0,1,0,10
12,1,0,1,1,12
80,0,1,0,0,5
74,0,0,1,0,11
25,1,0,1,1,2
72,0,0,0,0,4
31,1,0,1,0,12
79,0,1,0,0,9
73,0,1,1,0,5
70,0,1,0,0,12
76,0,0,0,1,6
79,0,0,0,0,10
70,0,0,0,0,9
79,0,1,1,0,12
78,0,0,1,1,14
74,0,0,1,1,2
3,1,0,0,0,9
70,0,0,0,1,12
73,0,0,1,0,12
75,0,0,1,0,12
18,1,1,0,0,13
41,1,1,0,1,9
79,0,0,0,0,16
76,0,0,1,0,11
77,0,1,0,0,9
74,0,0,0,1,5
70,0,0,1,0,10
76,0,0,0,0,11
21,1,0,0,1,12
9,1,1,0,0,9
76,0,0,0,1,12
80,0,1,0,1,6
13,1,0,1,0,11
41,1,0,1,1,10
3,1,0,1,0,4
6,1,0,0,0,11
77,0,0,1,1,13
73,0,1,0,0,12
51,1,0,1,0,9
73,0,1,1,1,2
76,0,0,0,0,8
44,1,0,1,0,11
70,0,0,1,0,12
80,0,0,1,0,12
76,0,1,0,0,7
75,0,0,1,0,11
76,0,1,1,0,12
10,1,0,1,0,9
79,0,1,1,0,10
9,1,0,1,0,12
78,0,0,0,1,14
57,1,0,1,1,11
71,0,0,1,0,10
15,1,0,1,0,15
80,0,0,1,0,11
17,1,0,1,0,8
4,1,0,1,0,10
50,1,0,1,0,8
70,0,0,1,0,12
7,1,0,0,0,8
81,0,0,1,1,8
70,0,0,1,1,12
71,0,0,1,1,5
81,0,0,0,0,9
73,0,0,1,0,12
70,0,0,1,0,9
78,0,0,0,0,6
12,1,0,0,0,6
71,0,0,1,0,10
31,1,0,1,0,12
73,0,0,1,1,11
73,0,0,1,0,6
76,0,0,0,0,10
77,0,0,1,0,11
71,0,1,0,1,9
77,0,1,0,0,10
79,0,0,0,0,7
7,1,0,1,0,8
70,0,0,0,1,8
74,0,1,0,0,11
12,1,1,1,0,8
47,1,0,1,0,15
16,1,0,1,0,8
72,0,0,1,0,10
81,0,0,0,0,8
71,0,0,0,1,2
42,1,1,1,1,10
76,0,1,0,0,9
29,1,0,0,0,6
79,0,1,0,0,8
70,0,0,1,1,12
75,0,0,1,1,12
72,0,0,0,0,10
76,0,1,1,0,12
45,1,0,0,0,10
5,1,0,0,0,9
3,1,1,0,0,12
80,0,1,0,0,12
73,0,0,1,1,12
81,0,0,1,0,11
81,0,0,0,1,12
72,0,0,0,0,8
